year,course,number,median_hsc,median_band,pct_b6,pct_b5,pct_b4,pct_b3,pct_b2
2022,Primary Industries Exam,549.0,75.0,4,3.0,26.0,42.0,25.0,4.0
2022,Retail Services Exam,745.0,69.0,3,,10.0,40.0,39.0,10.0
2022,"Tourism, Travel & Events Exam",79.0,70.0,4,4.0,22.0,29.0,37.0,8.0
2023,Aboriginal Studies,781.0,75.0,4,13.0,25.0,24.0,19.0,12.0
2023,Agriculture,1417.0,73.0,4,10.0,20.0,27.0,28.0,11.0
2023,Ancient History,6682.0,74.0,4,9.0,23.0,28.0,20.0,13.0
2023,Biology,19382.0,74.0,4,8.0,24.0,32.0,25.0,9.0
2023,Business Studies,18705.0,75.0,4,11.0,25.0,28.0,24.0,10.0
2023,Chemistry,9892.0,76.0,4,12.0,26.0,28.0,19.0,12.0
2023,Community & Family Studies,9099.0,76.0,4,6.0,30.0,36.0,20.0,6.0
2023,Dance,777.0,84.0,5,17.0,52.0,23.0,8.0,1.0
2023,Design & Technology,3783.0,79.0,4,12.0,35.0,31.0,17.0,4.0
2023,Drama,3324.0,82.0,5,22.0,39.0,28.0,11.0,1.0
2023,Earth & Environmental Science,2553.0,74.0,4,7.0,26.0,27.0,22.0,12.0
2023,Economics,5515.0,79.0,4,13.0,35.0,28.0,16.0,6.0
2023,Engineering Studies,2557.0,74.0,4,9.0,21.0,39.0,27.0,4.0
2023,English Studies Exam,1230.0,59.0,2,,,9.0,36.0,39.0
2023,English Standard,31696.0,71.0,4,,13.0,47.0,30.0,9.0
2023,English Advanced,25102.0,83.0,5,14.0,53.0,28.0,4.0,1.0
2023,English EAL/D,1204.0,71.0,4,5.0,17.0,32.0,25.0,15.0
